#year,#month,#day,#time,#latitude_boat,#longitude_boat,#latitude_startboat,#longitude_startboat,#latitude_pin,#longitude_pin,#latitude_topmark,#longitude_topmark,#latitude_bottommark,#longitude_bottommark,#magnetometer_Angle,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,gpsAngle,markBoatAngle,angleToMark,distance,sattelites,livewind
2021,2,6,3592400,-37.6713055,176.1555888,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,228.57,0.43,0,-0.67,0.1,0,0.97,0,-15.41,116.02,3637.28,5,7
2021,2,6,3592500,-37.67138733,176.1557948,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,228.36,0.55,-0.18,-0.73,0.1,0,0.97,0,-15.1,116.55,3641.29,5,7
2021,2,6,3592500,-37.67138733,176.1557948,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,232.1,0.49,0.06,-0.67,0.1,0,0.97,0,-15.1,112.8,3641.29,5,7
2021,2,6,3592600,-37.67138317,176.1558967,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,228.69,8.79,12.94,6.59,0.07,-0.11,1.01,0,-14.96,116.34,3638.52,7,7
2021,2,6,3592700,-37.6713745,176.1559237,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,298.05,16.24,-124.76,4.15,-0.93,-0.05,0.21,0,-14.93,47.02,3636.97,7,7
2021,2,6,3592700,-37.6713745,176.1559237,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,321.04,-21.55,-67.08,3.23,-0.87,-0.07,-0.56,0,-14.93,24.03,3636.97,7,7
2021,2,6,3592800,-37.67134867,176.1559652,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,343.68,-14.95,-54.38,10.13,-0.26,-0.26,-1.1,0,-14.89,1.43,3633.26,8,7
2021,2,6,3592800,-37.67134867,176.1559652,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,349.48,26,25.09,6.65,-0.15,-0.11,-0.99,0,-14.89,4.36,3633.26,8,7
2021,2,6,3592900,-37.67133817,176.156024,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,348.45,-0.61,0.06,-0.92,-0.01,-0.21,-1.02,0,-14.81,3.26,3630.8,8,7
2021,2,6,3593000,-37.67133183,176.1559967,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,-37.63977,176.166565,325.1,0.67,-0.24,-0.67,-0.01,-0.21,-1.02,0,-14.85,20.05,3630.74,8,7
